=== Q08a: municipio ativo x fonte (scraper_municipio_coleta), piores primeiro ===
pos_alfa|nome|fonte|ultima_coleta_brt|dias_desde_carimbo|tentativas|ultimo_erro_brt|qualidade|detalhe_pagina|ultimo_erro
10|Carmópolis de Minas|simec_termos|08-29 03:10|0.8|0||bom|1|
11|Casa Grande|simec_termos|08-29 03:10|0.8|0||bom|1|
12|Cláudio|simec_termos|08-29 03:10|0.8|0||bom|1|
13|Conceição do Pará|simec_termos|08-29 03:10|0.8|0||bom|1|
14|Córrego Danta|simec_termos|08-29 03:10|0.8|0||bom|1|
15|Desterro de Entre Rios|simec_termos|08-29 03:10|0.8|0||bom|1|
16|Estrela do Indaiá|simec_termos|08-29 03:10|0.8|0||bom|1|
17|Heliodora|simec_termos|08-29 03:10|0.8|0||bom|1|
18|Ibitiúra de Minas|simec_termos|08-29 03:10|0.8|0||bom|1|
19|Igarapé|simec_termos|08-29 03:10|0.8|0||bom|1|
20|Igaratinga|simec_termos|08-29 03:11|0.8|0||bom|1|
21|Iguatama|simec_termos|08-29 03:11|0.8|0||bom|1|
22|Itaguara|simec_termos|08-29 03:11|0.8|0||bom|1|
23|Japaraíba|simec_termos|08-29 03:11|0.8|0||bom|1|
24|Lagoa Dourada|simec_termos|08-29 03:11|0.8|0||bom|1|
25|Martinho Campos|simec_termos|08-29 03:11|0.8|0||bom|1|
26|Moema|simec_termos|08-29 03:11|0.8|0||bom|1|
27|Nova Lima|simec_termos|08-29 03:11|0.8|0||bom|1|
28|Nova Serrana|simec_termos|08-29 03:11|0.8|0||bom|1|
29|Oliveira Fortes|simec_termos|08-29 03:11|0.8|0||bom|1|
30|Papagaios|simec_termos|08-29 03:11|0.8|0||bom|1|
31|Passa Tempo|simec_termos|08-29 03:11|0.8|0||bom|1|
32|Pequi|simec_termos|08-29 03:11|0.8|0||bom|1|
33|Perdigão|simec_termos|08-29 03:11|0.8|0||bom|1|
34|Piracema|simec_termos|08-29 03:11|0.8|0||bom|1|
35|Santo Antônio do Monte|simec_termos|08-29 03:11|0.8|0||bom|1|
36|Senhora dos Remédios|simec_termos|08-29 03:11|0.8|0||bom|1|
37|São Brás do Suaçuí|simec_termos|08-29 03:11|0.8|0||bom|1|
38|São Francisco de Paula|simec_termos|08-29 03:12|0.8|0||bom|1|
39|São Sebastião do Oeste|simec_termos|08-29 03:12|0.8|0||bom|1|
40|São Tiago|simec_termos|08-29 03:12|0.8|0||bom|1|
41|Tocos do Moji|simec_termos|08-29 03:12|0.8|0||bom|1|
42|Toledo|simec_termos|08-29 03:12|0.8|0||bom|1|
22|Itaguara|transferegov|08-29 03:25|0.8|1|08-29 03:25|carimbo-em-erro|1|parcial: orcamento esgotado, 11 propostas restantes
31|Passa Tempo|transferegov|08-29 05:25|0.7|1|08-29 05:25|carimbo-em-erro|1|parcial: orcamento esgotado, 21 propostas restantes
9|Carandaí|transferegov|08-29 07:25|0.6|1|08-29 07:25|carimbo-em-erro|1|parcial: orcamento esgotado, 54 propostas restantes
25|Martinho Campos|transferegov|08-29 11:25|0.5|1|08-29 11:25|carimbo-em-erro|1|parcial: orcamento esgotado, 5 propostas restantes
33|Perdigão|transferegov|08-29 13:25|0.4|1|08-29 13:25|carimbo-em-erro|1|parcial: orcamento esgotado, 17 propostas restantes
2|Araújos|transferegov|08-29 17:25|0.2|1|08-29 17:25|carimbo-em-erro|1|parcial: orcamento esgotado, 18 propostas restantes
3|Arcos|transferegov|08-29 19:25|0.1|1|08-29 19:25|carimbo-em-erro|1|parcial: orcamento esgotado, 143 propostas restantes
11|Casa Grande|transferegov|08-28 21:21|1.1|0||bom|1|
12|Cláudio|transferegov|08-28 23:13|1.0|0||bom|1|
16|Estrela do Indaiá|transferegov|08-28 23:18|1.0|0|08-27 23:25|bom|1|parcial: orcamento esgotado, 11 propostas restantes
17|Heliodora|transferegov|08-29 01:05|0.9|0|08-26 23:25|bom|1|parcial: orcamento esgotado, 3 propostas restantes
18|Ibitiúra de Minas|transferegov|08-29 01:09|0.9|0||bom|1|
19|Igarapé|transferegov|08-29 03:04|0.8|0|08-28 01:25|bom|1|parcial: orcamento esgotado, 1 propostas restantes
21|Iguatama|transferegov|08-29 03:13|0.8|0|08-27 01:25|bom|1|parcial: orcamento esgotado, 10 propostas restantes
27|Nova Lima|transferegov|08-29 05:11|0.7|0|08-28 03:25|bom|1|parcial: orcamento esgotado, 82 propostas restantes
29|Oliveira Fortes|transferegov|08-29 05:16|0.7|0||bom|1|
30|Papagaios|transferegov|08-29 05:22|0.7|0||bom|1|
35|Santo Antônio do Monte|transferegov|08-29 07:12|0.6|0|08-28 05:25|bom|1|parcial: orcamento esgotado, 26 propostas restantes
36|Senhora dos Remédios|transferegov|08-29 07:19|0.6|0||bom|1|
41|Tocos do Moji|transferegov|08-29 07:23|0.6|0|08-25 11:37|bom|1|parcial: orcamento esgotado, 24 propostas restantes
13|Conceição do Pará|transferegov|08-29 09:01|0.6|0|08-28 07:25|bom|1|parcial: orcamento esgotado, 4 propostas restantes
14|Córrego Danta|transferegov|08-29 09:09|0.6|0|08-25 12:24|bom|1|parcial: orcamento esgotado, 51 propostas restantes
15|Desterro de Entre Rios|transferegov|08-29 09:14|0.6|0||bom|1|
20|Igaratinga|transferegov|08-29 09:24|0.5|0||bom|1|
23|Japaraíba|transferegov|08-29 11:06|0.5|0|08-28 09:25|bom|1|parcial: orcamento esgotado, 23 propostas restantes
24|Lagoa Dourada|transferegov|08-29 11:14|0.5|0||bom|1|
26|Moema|transferegov|08-29 13:08|0.4|0|08-28 11:25|bom|1|parcial: orcamento esgotado, 17 propostas restantes
28|Nova Serrana|transferegov|08-29 13:15|0.4|0||bom|1|
32|Pequi|transferegov|08-29 13:20|0.4|0|08-25 15:00|bom|1|Page.evaluate: TypeError: Cannot read properties of null (reading 'options') at eval (eval at evaluate (:311:30), <anonymous>:1:70) at UtilityScript.evaluate (<
34|Piracema|transferegov|08-29 15:10|0.3|0|08-28 13:25|bom|1|parcial: orcamento esgotado, 38 propostas restantes
37|São Brás do Suaçuí|transferegov|08-29 15:14|0.3|0||bom|1|
38|São Francisco de Paula|transferegov|08-29 15:19|0.3|0||bom|1|
39|São Sebastião do Oeste|transferegov|08-29 15:25|0.3|0||bom|1|
40|São Tiago|transferegov|08-29 17:12|0.2|0|08-27 15:25|bom|1|parcial: orcamento esgotado, 15 propostas restantes
42|Toledo|transferegov|08-29 17:16|0.2|0||bom|1|
1|Arapuá|transferegov|08-29 17:21|0.2|0||bom|1|
4|Bom Despacho|transferegov|08-29 19:17|0.1|0|08-28 17:25|bom|1|parcial: orcamento esgotado, 37 propostas restantes
5|Bonfim|transferegov|08-29 19:24|0.1|0||bom|1|
6|Camacho|transferegov|08-29 21:05|0.1|0|08-28 19:25|bom|1|parcial: orcamento esgotado, 28 propostas restantes
7|Capela Nova|transferegov|08-29 21:09|0.1|0||bom|1|
